type_of_accommodation,number_of_rooms,floor,floors,type_of_house,repair,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,district,distnce_metro
Новостройка,1,3,15,Монолитный,Нет,0,1,1,1,1,0,0,2857000,23.1,10.0,5.0,2019,"Москва, НАО (Новомосковский), Сосенское поселение, Гавриково СНТ, ул. Березовая", НАО (Новомосковский),1.279887705059646
Вторичка,1,9,11,Монолитный,Нет,1,0,0,0,1,1,0,10900000,49.0,22.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,6,11,Монолитный,Нет,2,0,1,1,1,1,0,29200000,118.0,61.0,16.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,17,17,Панельный,Нет,0,1,1,1,1,1,1,6400000,61.0,31.1,12.0,2016,"Москва, НАО (Новомосковский), Воскресенское поселение, проезд Чечерский, 122к3", НАО (Новомосковский),1.3804778147876398
Вторичка,3,4,11,Монолитный,Нет,2,0,0,0,1,0,0,26900000,109.0,60.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,3,3,11,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,1,186662496,130.9,98.0,16.0,2012,"Москва, ЦАО, р-н Хамовники, 2-я Фрунзенская ул., 8", ЦАО,0.4502180594367952
Вторичка,1,11,11,Монолитный,Нет,1,0,0,0,1,1,0,12400000,50.0,20.0,13.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,2,25,Монолитный,Нет,1,1,1,1,0,1,0,44000000,126.46,70.0,27.7,2008,"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 29к1", ЗАО,1.879882418149436
Вторичка,1,2,17,Панельный,Нет,1,0,1,1,0,1,1,4377450,38.5,18.9,7.3,2016,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к8", ЮВАО,8.015042310769326
Вторичка,1,6,11,Монолитный,Нет,1,0,1,1,1,1,0,11500000,50.0,20.0,12.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90", ВАО,0.4952167433467383
Вторичка,1,3,11,Монолитный,Нет,1,1,0,0,1,0,1,10650000,49.0,19.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,15,16,Монолитный,Нет,0,2,1,1,1,1,0,34000000,131.5,77.6,17.6,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С2", ВАО,0.6332881458583748
Вторичка,2,2,13,Монолитный,Нет,2,0,0,0,1,0,0,17900000,80.0,50.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,28,44,Монолитный,Нет,0,2,1,0,0,0,1,57000000,147.0,100.0,10.0,2004,"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 3", ЗАО,0.8198485106731115
Вторичка,3,3,6,Монолитный,Нет,0,2,1,0,0,0,1,49000000,123.0,71.0,8.0,1913,"Москва, ЦАО, р-н Хамовники, Малый Могильцевский пер., 4Б", ЦАО,0.622612242537528
Вторичка,5,4,6,Монолитный,Нет,0,3,1,0,0,0,0,99000000,250.0,200.0,20.0,1909,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 36С1", ЦАО,0.3717243257980703
Вторичка,3,10,22,Монолитный,Нет,0,2,1,0,0,0,1,43000000,108.0,80.0,12.0,2009,"Москва, ЮЗАО, р-н Академический, ул. Дмитрия Ульянова, 31", ЮЗАО,1.0795869003386898
Новостройка,1,2,16,Монолитный,Нет,1,0,1,1,1,1,0,9827730,46.0,17.5,22.3,2019,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул.", ВАО,1.7976944526847196
Новостройка,2,17,22,Монолитный,Нет,1,0,1,1,0,1,0,18377280,64.8,45.8,9.4,2018,"Москва, ЗАО, р-н Кунцево, Рублевское ш., 101К3", ЗАО,0.4620240626906531
Вторичка,3,7,30,Монолитно-кирпичный,Нет,0,2,1,0,0,0,1,65000000,151.1,82.1,15.0,2002,"Москва, ЗАО, р-н Проспект Вернадского, Ленинский просп., 98К1", ЗАО,1.126381505984651
Вторичка,4,5,9,Монолитный,Нет,0,3,1,0,0,0,1,115319441,155.0,100.0,18.0,1997,"Москва, ЦАО, р-н Замоскворечье, Татарская ул., 18", ЦАО,0.25110026476324626
Вторичка,2,3,6,Монолитный,Нет,0,2,1,0,0,0,1,45000000,68.0,35.0,10.0,1925,"Москва, ЦАО, р-н Тверской, Трехпрудный пер., 6", ЦАО,0.3494610285232991
Вторичка,3,8,8,Монолитный,Нет,0,2,1,0,0,0,0,137037936,142.6,113.0,12.0,2009,"Москва, ЦАО, р-н Басманный, Казарменный пер., 3", ЦАО,0.7785445767315001
Вторичка,4,5,6,Монолитный,Нет,0,2,1,0,0,0,0,68199669,137.0,110.0,12.0,1914,"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С1", ЦАО,0.6375675628426687
Вторичка,6,8,8,Монолитно-кирпичный,Нет,0,4,1,0,0,0,0,328598409,450.0,300.0,25.0,2012,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 28", ЦАО,0.4154650487946528
Вторичка,3,4,12,Монолитно-кирпичный,Дизайнерский,1,1,1,1,1,0,0,50000000,150.0,110.0,20.0,2004,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 26К1", ЗАО,1.0510100360240562
Вторичка,1,12,25,Панельный,Нет,0,1,0,0,1,1,1,4680898,39.4,18.9,9.0,2016,"Москва, ЮВАО, р-н Некрасовка, ул. Недорубова, 18к1", ЮВАО,7.117841906668726
Вторичка,6,14,24,Монолитный,Нет,0,5,1,0,0,0,0,361501650,293.0,250.0,25.0,2011,"Москва, ЮЗАО, р-н Гагаринский, ул. Косыгина, 13к1", ЮЗАО,0.9010137028112593
Вторичка,3,7,10,Монолитно-кирпичный,Дизайнерский,0,0,1,1,0,0,0,50000000,75.0,50.0,15.0,2013,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1", ЦАО,0.7588369729959621
Новостройка,2,2,17,Панельный,Черновая,0,1,1,1,1,0,0,6040156,62.1,32.0,12.9,2018,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к10", ЮВАО,7.835577188234738
Вторичка,4,3,4,Монолитный,Нет,0,2,1,0,0,0,0,216998949,173.0,100.0,15.0,2001,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 21", ЦАО,0.5491301224936592
Вторичка,3,7,11,Монолитно-кирпичный,Нет,0,1,1,0,0,0,1,111599459,138.0,100.0,20.0,2008,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 2С3", ЦАО,0.647935115427873
Вторичка,3,9,17,Монолитно-кирпичный,Евроремонт,0,0,1,0,1,0,0,65000000,110.0,75.0,15.0,2008,"Москва, ЗАО, р-н Дорогомилово, Студенческая ул., 20к1", ЗАО,0.5405522644859322
Вторичка,3,2,7,Монолитно-кирпичный,Дизайнерский,0,1,1,0,0,0,1,75000000,133.0,75.0,15.0,1998,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 4", ЦАО,0.591634432212328
Вторичка,5,6,6,Кирпичный,Дизайнерский,0,0,1,0,0,0,0,65000000,195.0,140.0,35.0,1917,"Москва, ЦАО, р-н Тверской, Тверская ул., 12С7", ЦАО,0.19579933527462487
Вторичка,3,3,6,Монолитный,Дизайнерский,1,0,1,0,0,0,0,77499624,118.0,80.0,12.0,1912,"Москва, ЦАО, р-н Арбат, пер. Сивцев Вражек, 12", ЦАО,0.6363806733879018
Вторичка,5,14,21,Монолитно-кирпичный,Дизайнерский,0,0,1,0,0,0,0,83500000,162.7,104.0,26.0,2010,"Москва, СВАО, р-н Останкинский, ул. Академика Королева, 10", СВАО,0.423775269688884
Вторичка,3,11,34,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,1,0,35000000,138.0,70.0,20.0,2008,"Москва, СЗАО, р-н Щукино, Авиационная ул., 77", СЗАО,1.1156009532570144
Вторичка,4,3,5,Кирпичный,Дизайнерский,0,1,1,1,0,0,0,90000000,140.0,90.0,40.0,2009,"Москва, ЦАО, р-н Таганский, ул. Станиславского, 11", ЦАО,0.5086590459837813
Вторичка,3,1,18,Монолитно-кирпичный,Евроремонт,1,0,1,0,0,0,0,198399039,185.0,150.0,20.0,2006,"Москва, ЦАО, р-н Арбат, Малый Новопесковский пер., 8", ЦАО,0.4071926130235803
Вторичка,4,1,7,Монолитно-кирпичный,Евроремонт,0,0,1,0,0,0,1,340998349,183.0,160.0,15.0,2005,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 5", ЦАО,0.6661893724246472
Вторичка,4,34,51,Монолитно-кирпичный,Дизайнерский,0,1,1,1,0,0,1,130199369,180.0,150.0,25.0,2006,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3", САО,0.8815239051151257
Вторичка,2,23,43,Монолитный,Нет,0,1,1,1,0,0,0,22000000,55.0,38.0,14.0,2011,"Москва, САО, р-н Хорошевский, Хорошевское ш., 16к1", САО,0.17460559183754448
Вторичка,4,3,10,Монолитно-кирпичный,Дизайнерский,0,0,1,1,0,0,0,164700000,208.0,120.0,20.0,2002,"Москва, ЦАО, р-н Арбат, Филипповский пер., 8С1", ЦАО,0.4618287199189304
Вторичка,3,2,12,Монолитно-кирпичный,Нет,0,2,1,1,1,0,0,39000000,115.0,67.0,19.0,2007,"Москва, ЗАО, р-н Проспект Вернадского, ул. Удальцова, 15", ЗАО,0.8977458447663217
Вторичка,4,6,12,Монолитно-кирпичный,Нет,0,0,1,1,0,0,0,35900000,120.0,90.0,20.0,2006,"Москва, САО, р-н Аэропорт, Петровско-Разумовская аллея, 10К2", САО,0.4837337063354378
Вторичка,2,3,8,Монолитно-кирпичный,Нет,2,1,0,0,1,1,0,148799279,166.4,116.0,25.0,2009,"Москва, ЦАО, р-н Хамовники, пер. Хилков, 1", ЦАО,0.5992216478200619
Вторичка,3,35,49,Монолитно-кирпичный,Нет,0,2,1,1,0,0,0,54800000,145.0,100.0,20.0,2009,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 111к1", ЮЗАО,1.7404275031338814
Вторичка,4,12,16,Монолитный,Нет,2,0,1,1,1,0,0,76259630,138.1,110.0,11.0,2008,"Москва, ЦАО, р-н Хамовники, Ружейный пер., 3", ЦАО,0.5997413589400458
Вторичка,4,13,57,Монолитно-кирпичный,Нет,0,3,1,1,0,0,0,87000000,159.0,99.0,18.0,2006,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3", САО,0.8815239051151257
Вторичка,3,6,26,Сталинский,Нет,0,0,1,1,1,0,0,58000000,105.0,66.0,13.0,1952,"Москва, ЦАО, р-н Таганский, Котельническая наб., 1/15", ЦАО,1.2055747463328732
Вторичка,4,2,4,Монолитно-кирпичный,Нет,0,0,1,1,0,0,1,86799579,170.0,130.0,18.0,2003,"Москва, ЗАО, р-н Раменки, Минская ул., 1А", ЗАО,2.4224745992631904
Новостройка,1,4,17,Панельный,Нет,0,1,0,0,1,0,0,4224580,38.8,19.0,7.4,2018,"Москва, ЮВАО, р-н Некрасовка, Люберецкие Поля микрорайон, 13-й квартал, к8", ЮВАО,8.015042310769326
Новостройка,6,6,15,Монолитный,Нет,1,1,1,1,1,1,0,43887250,181.5,105.6,13.4,2020,"Москва, СВАО, р-н Алексеевский, Новоалексеевская ул.", СВАО,0.5704502305196115
Новостройка,1,5,51,Монолитный,Нет,1,0,1,1,0,1,0,8588470,43.39,13.4,15.8,2019,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39", ЦАО,1.1010671002143089
Вторичка,1,4,12,Панельный,Косметический,0,1,1,1,0,0,1,5790000,42.0,21.0,8.5,1979,"Москва, СВАО, р-н Отрадное, Березовая аллея, 7", СВАО,1.3198688004190329
Вторичка,3,2,9,Монолитно-кирпичный,Нет,0,2,1,1,0,0,1,154999249,140.0,90.0,15.0,2013,"Москва, ЦАО, р-н Тверской, Большой Каретный пер., 24с2", ЦАО,0.41259287995051175
Вторичка,3,5,5,Кирпичный,Косметический,1,0,0,0,1,0,0,8480000,44.0,32.0,5.6,1962,"Москва, САО, р-н Аэропорт, Часовая ул., 19А", САО,0.9522589516693416
Вторичка,1,4,19,Монолитный,Нет,0,1,1,1,1,0,0,7000000,39.0,19.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2", ЮАО,2.763500305349865
Вторичка,1,5,12,Монолитно-кирпичный,Евроремонт,1,0,1,1,1,0,0,7100000,51.0,26.0,13.0,2013,"Москва, ЮАО, р-н Бирюлево Восточное, 6-я Радиальная ул., 5к1", ЮАО,1.9023957509760725
Вторичка,1,17,19,Монолитный,Нет,0,1,1,1,0,0,0,7200000,38.0,19.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к3", ЮАО,2.663690320079897
Вторичка,2,7,38,Монолитный,Нет,1,0,1,1,0,0,0,8990000,50.0,27.0,9.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,2,7,19,Монолитный,Нет,0,1,1,1,1,0,0,10300000,56.0,33.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2", ЮАО,2.763500305349865
Вторичка,2,5,19,Монолитный,Нет,0,1,1,1,1,0,0,10400000,55.1,30.0,9.4,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2", ЮАО,2.763500305349865
Вторичка,1,13,19,Монолитный,Нет,1,0,0,0,1,0,0,10000000,46.0,22.0,14.0,2013,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к6", ЮВАО,0.7938937256066709
Вторичка,2,5,19,Монолитный,Нет,0,1,1,1,1,0,0,10100000,57.0,33.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к2", ЮАО,2.763500305349865
Вторичка,3,6,18,Монолитный,Евроремонт,2,0,0,0,1,0,0,32500000,108.1,57.9,14.0,2003,"Москва, ЗАО, р-н Кунцево, ул. Маршала Тимошенко, 17К2", ЗАО,1.4562412656677657
Вторичка,2,11,18,Кирпичный,Дизайнерский,1,0,1,1,0,1,0,29800000,72.0,31.0,27.0,1998,"Москва, ЦАО, р-н Пресненский, Зоологическая ул., 28С2", ЦАО,0.6765248336614592
Вторичка,1,3,11,Монолитный,Нет,1,0,1,1,1,0,0,10600000,49.9,20.1,14.8,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,1,14,21,Монолитный,Евроремонт,1,0,0,0,1,0,0,10700000,48.0,24.0,10.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2", ЗАО,1.2612420176450985
Вторичка,1,19,28,Монолитный,Евроремонт,1,0,0,0,0,0,0,10800000,36.0,25.0,6.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к1", ЗАО,1.3036267114070783
Вторичка,1,12,19,Монолитный,Нет,1,0,1,1,1,0,0,9800000,48.0,22.0,13.0,2016,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к2", ЮВАО,0.9050516311528176
Вторичка,1,7,18,Монолитный,Нет,0,2,0,0,1,0,0,10500000,54.0,30.0,15.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2", ЗАО,1.2612420176450985
Вторичка,2,7,28,Монолитный,Нет,0,2,0,0,1,0,0,10600000,60.0,40.0,15.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к1", ЗАО,1.3036267114070783
Вторичка,1,22,38,Монолитный,Нет,0,2,1,1,0,0,0,10200000,50.0,35.0,10.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,1,14,15,Монолитный,Нет,1,0,0,0,0,0,0,7500000,43.0,25.0,10.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2", ЗАО,1.2612420176450985
Вторичка,2,23,38,Монолитный,Нет,1,0,1,1,0,0,0,11000000,56.0,29.0,9.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,1,9,11,Монолитный,Нет,1,0,1,1,1,0,0,11100000,49.0,35.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,15,23,Монолитный,Нет,0,1,0,0,1,0,0,10895000,67.0,36.0,15.0,2014,"Москва, ЮАО, р-н Чертаново Южное, ул. Академика Янгеля, 2", ЮАО,0.154038611488632
Вторичка,1,3,11,Монолитный,Нет,1,0,0,0,0,0,0,12300000,52.0,22.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,21,38,Монолитный,Нет,0,2,1,1,0,0,0,12900000,70.0,49.0,12.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,1,3,18,Монолитный,Нет,0,1,0,0,1,0,0,12500000,54.0,24.0,13.0,2014,"Москва, ВАО, р-н Измайлово, Измайловский проезд, 10к4", ВАО,1.042086656858876
Вторичка,2,13,38,Монолитный,Нет,1,0,1,1,0,0,0,11900000,59.0,30.0,9.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,2,3,17,Монолитный,Нет,0,0,0,0,0,0,0,12250000,60.0,45.0,8.0,2016,"Москва, ЮВАО, р-н Лефортово, Солдатский пер., 10", ЮВАО,1.632528346492523
Вторичка,2,4,21,Монолитный,Нет,1,0,0,0,1,0,0,12000000,71.0,40.0,16.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2", ЗАО,1.2612420176450985
Вторичка,2,12,19,Монолитный,Евроремонт,1,0,1,1,1,0,0,12649999,48.2,30.0,13.0,2016,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к2", ЮВАО,0.9050516311528176
Вторичка,2,17,38,Монолитный,Нет,0,2,1,1,0,0,0,13500000,62.0,41.0,10.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,1,28,28,Монолитный,Нет,1,0,0,0,1,0,0,12000000,46.0,20.0,16.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к1", ЗАО,1.3036267114070783
Вторичка,2,5,17,Монолитный,Нет,0,1,0,0,0,0,0,12500000,53.0,30.0,8.0,2016,"Москва, ЮВАО, р-н Лефортово, Солдатский пер., 10", ЮВАО,1.632528346492523
Вторичка,1,5,5,Кирпичный,Евроремонт,1,0,1,0,0,0,0,12200000,28.0,15.0,3.0,1917,"Москва, ЦАО, р-н Тверской, Старопименовский пер., 8", ЦАО,0.4088005640240873
Вторичка,2,13,31,Монолитный,Нет,0,2,0,0,0,0,1,12800000,69.0,44.0,15.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к1", ЗАО,1.3036267114070783
Вторичка,3,44,75,Монолитный,Дизайнерский,2,1,1,1,0,1,0,101059510,163.0,98.0,20.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,2,23,37,Монолитный,Нет,1,0,1,1,0,0,0,12300000,64.0,35.0,10.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,3,8,17,Монолитно-кирпичный,Евроремонт,0,2,1,1,1,0,0,16300000,106.6,54.5,13.0,2012,"Москва, ЮАО, р-н Бирюлево Восточное, 6-я Радиальная ул., 5к2", ЮАО,2.07311755833111
Вторичка,3,15,38,Монолитный,Нет,0,2,1,1,0,0,0,18000000,100.0,78.0,12.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,2,6,17,Панельный,Косметический,0,1,1,1,0,0,1,7850000,51.6,30.6,8.4,1992,"Москва, СЗАО, р-н Митино, Митинская ул., 52", СЗАО,0.3919139196607964
Вторичка,2,2,16,Монолитный,Нет,0,2,0,0,0,0,0,17500000,81.0,42.0,16.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,8,34,Монолитный,Нет,0,2,1,1,1,0,0,14900000,82.0,40.0,12.5,2015,"Москва, САО, р-н Левобережный, Смольная ул., 49", САО,0.97103212334418
Вторичка,3,4,19,Монолитный,Нет,0,1,1,1,1,0,0,14700000,79.0,48.0,9.0,2016,"Москва, ЮАО, р-н Нагатинский затон, Коломенская ул., 12к3", ЮАО,2.663690320079897
Вторичка,3,17,38,Монолитный,Нет,0,2,1,1,0,0,0,17500000,105.0,74.0,12.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,2,4,19,Монолитный,Нет,0,0,1,1,1,0,0,15380000,79.0,37.0,20.0,2015,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к3", ЮВАО,0.8973735106745836
Вторичка,2,8,8,Монолитно-кирпичный,Евроремонт,0,2,1,0,0,1,1,70000000,120.0,71.0,12.0,2005,"Москва, ЦАО, р-н Тверской, Весковский туп., 3", ЦАО,0.2152540796748388
Вторичка,2,15,18,Монолитный,Дизайнерский,0,2,1,1,0,0,0,17500000,72.0,44.0,15.0,2014,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к7", ЮВАО,0.780373653999132
Вторичка,2,3,18,Монолитный,Нет,0,2,0,0,1,0,0,17000000,77.0,41.0,13.0,2014,"Москва, ВАО, р-н Измайлово, Измайловский проезд, 10к4", ВАО,1.042086656858876
Вторичка,3,28,38,Монолитный,Нет,0,2,1,1,0,0,0,18000000,82.0,56.0,12.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,1,2,9,Монолитно-кирпичный,Дизайнерский,1,0,1,1,0,0,0,15000000,27.0,18.0,1.0,2001,"Москва, ЦАО, р-н Якиманка, Старомонетный пер., 18", ЦАО,0.3212149166364977
Вторичка,3,5,38,Монолитный,Нет,0,2,1,1,0,0,0,15450000,98.0,62.0,12.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,3,17,19,Панельный,Евроремонт,0,1,0,0,0,0,0,17000000,71.0,48.0,7.0,1967,"Москва, ЗАО, р-н Проспект Вернадского, Ленинский просп., 92", ЗАО,1.2481586662932491
Вторичка,2,4,23,Монолитный,Нет,0,2,1,1,1,0,0,22100000,106.0,53.0,16.0,2014,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 103", ЮЗАО,1.4076274986307582
Вторичка,2,4,11,Монолитный,Нет,0,2,0,0,1,0,0,19500000,79.0,38.1,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,3,5,23,Монолитный,Нет,0,2,1,1,1,0,0,22200000,106.0,70.0,16.0,2014,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 103", ЮЗАО,1.4076274986307582
Вторичка,3,10,17,Монолитный,Нет,0,0,0,0,0,0,0,19000000,81.0,48.0,14.0,2016,"Москва, ЮВАО, р-н Лефортово, Солдатский пер., 10", ЮВАО,1.632528346492523
Вторичка,2,8,11,Монолитный,Нет,0,2,0,0,1,0,0,21000000,77.0,38.0,15.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,3,8,18,Монолитный,Нет,0,3,0,0,0,0,0,21000000,108.0,60.0,15.0,2015,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 5к2", ЗАО,1.2612420176450985
Вторичка,2,11,13,Монолитный,Нет,0,2,0,0,1,0,0,20000000,76.0,40.0,11.0,2014,"Москва, ВАО, р-н Измайлово, Измайловский проезд, 10к2", ВАО,1.1875344980398777
Вторичка,2,20,32,Монолитный,Нет,0,2,1,1,1,0,0,22320000,107.0,53.0,17.0,2014,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 103", ЮЗАО,1.4076274986307582
Вторичка,2,10,18,Монолитный,Нет,0,2,1,1,1,0,0,21000000,72.0,40.0,15.0,2013,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к5", ЮВАО,0.7809442064730789
Вторичка,2,5,11,Монолитный,Нет,0,2,1,1,1,0,0,20000000,75.5,48.0,17.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,2,11,Монолитный,Нет,0,2,1,1,1,0,0,21000000,91.0,48.0,17.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,4,15,18,Монолитно-кирпичный,Евроремонт,0,3,1,1,0,1,1,216000000,260.0,212.0,23.0,2016,"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 11", ЦАО,0.7146522338382695
Вторичка,2,16,19,Монолитный,Нет,0,2,1,1,1,0,0,18999999,88.6,65.0,15.0,2016,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к2", ЮВАО,0.9050516311528176
Вторичка,1,7,7,Монолитно-кирпичный,Нет,1,0,1,1,0,0,0,20000000,85.0,60.0,20.0,2010,"Москва, ЮАО, р-н Донской, 3-й Донской проезд, 1", ЮАО,1.1574334808653493
Вторичка,2,7,19,Монолитный,Дизайнерский,0,1,1,1,1,0,0,19000000,75.0,44.0,18.0,2013,"Москва, ЮВАО, р-н Южнопортовый, ул. Мельникова, 3к5", ЮВАО,0.7809442064730789
Вторичка,2,3,11,Монолитный,Нет,0,2,1,1,1,0,0,19800000,78.0,39.0,14.0,2016,"Москва, ВАО, р-н Преображенское, Краснобогатырская ул., 90С1", ВАО,0.5323660851381751
Вторичка,2,9,28,Монолитный,Нет,0,0,1,1,1,0,0,21700000,94.0,60.0,19.0,2017,"Москва, САО, р-н Тимирязевский, Дмитровское ш., 13", САО,0.277437342043645
Вторичка,4,7,23,Монолитный,Нет,0,2,1,1,1,0,0,24800000,133.0,86.0,33.0,2014,"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 103", ЮЗАО,1.4076274986307582
Вторичка,1,10,34,Монолитный,Нет,0,1,1,1,0,0,0,27000000,60.0,36.0,8.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,7,38,Монолитный,Нет,0,2,1,1,0,0,0,23500000,144.0,96.0,15.0,2015,"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4", СВАО,1.4749313988128832
Вторичка,2,7,7,Монолитно-кирпичный,Нет,0,0,1,1,0,0,0,23000000,98.0,60.0,25.0,2010,"Москва, ЮАО, р-н Донской, 3-й Донской проезд, 1", ЮАО,1.1574334808653493
Вторичка,2,3,15,Монолитно-кирпичный,Евроремонт,0,1,1,1,0,0,1,23000000,72.0,39.0,12.0,2016,"Москва, ЗАО, р-н Раменки, ул. Столетова, 19", ЗАО,2.9133563336604085
