type_of_accommodation,number_of_rooms,floor,floors,type_of_house,repair,combined_bathroom,shared_bathroom,passenger_elevator,cargo_elevator,loggia,parking,balcony,price,total_area,living_area,kitchen_area,year_of_construction,full_adress,district,distnce_metro
Вторичка,3,12,16,Монолитный,Евроремонт,0,2,1,1,1,0,0,22500000,99.0,54.0,17.0,2002,"Москва, СВАО, р-н Свиблово, Снежная ул., 23", СВАО,0.1833124847008913
Вторичка,2,5,9,Кирпичный,Нет,0,1,0,0,1,0,0,23450000,58.7,35.3,9.5,1968,"Москва, ЦАО, р-н Хамовники, ул. Пречистенка, 30/2", ЦАО,0.6690928498341757
Вторичка,2,5,5,Сталинский,Нет,0,1,0,0,0,0,0,11400000,54.0,36.0,8.0,1956,"Москва, САО, р-н Хорошевский, Хорошевское ш., 1", САО,0.3253356012392501
Вторичка,4,6,8,Сталинский,Нет,2,0,1,0,1,0,0,30000000,124.0,84.0,14.0,1957,"Москва, ЮЗАО, р-н Академический, ул. Дмитрия Ульянова, 24", ЮЗАО,0.06635214901845354
Вторичка,3,1,22,Панельный,Косметический,0,1,1,1,0,0,0,15000000,77.0,44.7,10.0,1988,"Москва, ЦАО, р-н Таганский, ул. Рогожский Вал, 2/50", ЦАО,0.30363465850751825
Вторичка,2,8,17,Панельный,Косметический,0,1,1,1,0,0,1,9500000,57.0,34.0,10.0,1994,"Москва, СВАО, р-н Отрадное, ул. Мусоргского, 5К2", СВАО,1.3442823525439835
Новостройка,1,12,16,Монолитный,Нет,0,1,1,1,1,0,0,8189025,34.05,16.0,7.2,2018,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Демьяна Бедного, 15К1", СЗАО,1.850163855013936
Вторичка,2,1,9,Панельный,Косметический,0,1,0,0,0,0,0,5990000,45.4,31.1,5.9,1967,"Москва, СЗАО, р-н Северное Тушино, ул. Фомичевой, 16К5", СЗАО,0.2244529345173331
Вторичка,1,6,12,Панельный,Нет,1,0,1,0,0,0,0,5800000,38.0,19.0,8.0,1982,"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 158К1", ЮАО,0.1808444385663772
Вторичка,2,11,20,Монолитный,Нет,1,1,1,1,0,0,0,11135000,65.5,35.0,18.0,2012,"Москва, ЮЗАО, р-н Зюзино, Балаклавский просп., 16", ЮЗАО,0.2263706315628586
Вторичка,5,3,6,Кирпичный,Косметический,1,0,0,0,0,0,0,23800000,102.0,72.0,10.8,1917,"Москва, ЦАО, р-н Тверской, Страстной бул., 4С3", ЦАО,0.10917195137472226
Вторичка,3,8,9,Панельный,Косметический,0,1,1,0,1,0,0,7290000,49.0,34.0,6.0,1967,"Москва, СЗАО, р-н Северное Тушино, ул. Фомичевой, 16К5", СЗАО,0.2244529345173331
Вторичка,2,3,12,Панельный,Нет,1,0,0,0,0,0,0,6800000,52.0,31.0,10.0,1977,"Москва, ЮАО, р-н Зябликово, Ореховый бул., 53", ЮАО,0.4708710525252041
Вторичка,3,12,12,Панельный,Косметический,0,1,1,1,1,1,0,10000000,76.0,46.0,10.0,2002,"Москва, ЮЗАО, р-н Южное Бутово, Скобелевская ул., 19К2", ЮЗАО,0.32293001526755616
Вторичка,2,3,15,Кирпичный,Нет,0,1,1,0,1,0,0,8800000,51.4,30.2,7.5,1971,"Москва, СВАО, р-н Бутырский, Бутырская ул., 4", СВАО,0.20468285023889787
Вторичка,3,6,8,Кирпичный,Дизайнерский,1,0,1,0,0,1,1,24900000,79.5,42.5,11.3,1960,"Москва, ЮАО, р-н Донской, ул. Шаболовка, 30/12", ЮАО,0.07619549311766373
Вторичка,3,6,6,Сталинский,Евроремонт,0,2,1,0,0,0,0,29000000,70.0,43.0,7.5,1913,"Москва, ЦАО, р-н Тверской, Тверская ул., 30/2С1", ЦАО,0.16624981686574844
Вторичка,2,6,17,Панельный,Косметический,0,1,1,1,0,0,1,8200000,53.0,32.0,9.0,1992,"Москва, СЗАО, р-н Митино, Митинская ул., 57", СЗАО,0.14696961459944374
Вторичка,4,2,23,Монолитный,Дизайнерский,0,2,1,1,1,0,0,73779600,132.3,85.5,17.9,2008,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 34", ЗАО,2.4510260063629774
Вторичка,4,3,6,Монолитный,Нет,0,1,1,1,0,0,1,38500000,108.0,91.0,17.0,1950,"Москва, ЦАО, р-н Тверской, Тверская ул., 19А", ЦАО,0.09985747014728237
Вторичка,4,13,30,Монолитный,Дизайнерский,1,1,1,1,1,0,0,39000000,145.0,88.0,20.4,2012,"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 32", ЗАО,0.13861114891619136
Вторичка,1,29,30,Монолитно-кирпичный,Евроремонт,1,0,0,1,1,0,0,15650000,54.0,16.0,20.0,2012,"Москва, ЗАО, р-н Кунцево, Ярцевская ул., 32", ЗАО,0.13861114891619136
Вторичка,2,12,20,Монолитный,Нет,1,1,1,1,0,1,0,11424000,67.2,42.0,12.0,2013,"Москва, ЮЗАО, р-н Зюзино, Балаклавский просп., 16", ЮЗАО,0.2263706315628586
Вторичка,2,17,20,Монолитный,Нет,0,1,1,1,0,0,0,9940000,56.8,24.0,20.0,2012,"Москва, ЮЗАО, р-н Зюзино, Балаклавский просп., 16", ЮЗАО,0.2263706315628586
Вторичка,1,2,10,Кирпичный,Дизайнерский,1,0,1,0,0,1,0,21500000,40.5,28.0,9.0,1914,"Москва, ЦАО, р-н Тверской, Большой Гнездниковский пер., 10", ЦАО,0.14287549192655954
Вторичка,5,7,8,Кирпичный,Евроремонт,0,0,0,0,0,0,0,65800000,110.0,76.0,11.0,1937,"Москва, ЦАО, р-н Якиманка, ул. Крымский Вал, 8", ЦАО,0.2666024707597066
Вторичка,2,4,5,Кирпичный,Косметический,0,1,0,0,0,0,1,7100000,43.0,28.0,6.0,1963,"Москва, СЗАО, р-н Южное Тушино, Сходненская ул., 52К3", СЗАО,0.3063017801379397
Вторичка,4,2,10,Панельный,Евроремонт,0,1,1,1,1,0,0,12499000,86.0,53.8,8.5,1997,"Москва, ЮВАО, р-н Выхино-Жулебино, ул. Авиаконструктора Миля, 14", ЮВАО,0.30202048020518624
Вторичка,3,5,8,Кирпичный,Дизайнерский,0,0,1,1,0,0,0,105915610,105.0,60.0,36.0,2004,"Москва, ЦАО, р-н Красносельский, Милютинский пер., 3", ЦАО,0.4649931242906182
Вторичка,1,13,22,Панельный,Евроремонт,1,0,1,1,1,0,0,7350000,40.0,19.0,9.0,1998,"Москва, ЮВАО, р-н Марьино, Люблинская ул., 165К2", ЮВАО,0.21998968688135367
Новостройка,1,13,20,Монолитный,Нет,1,0,1,1,1,1,0,8711560,44.94,16.6,12.8,2018,"Москва, ЮАО, р-н Даниловский, Зиларт жилой комплекс, 8", ЮАО,1.7513466000955518
Вторичка,3,3,8,Сталинский,Нет,0,1,1,0,0,0,1,20500000,75.0,52.0,8.0,1935,"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 27", ЦАО,0.0762172466034399
Вторичка,2,3,5,Панельный,Нет,1,0,0,0,0,0,1,6200000,42.6,26.6,6.1,1960,"Москва, ВАО, р-н Богородское, Открытое ш., 3К1", ВАО,0.3775317539192463
Вторичка,1,1,16,Панельный,Евроремонт,0,2,0,0,0,0,0,5200000,36.0,24.0,7.0,2002,"Москва, ЮЗАО, р-н Южное Бутово, Скобелевская ул., 3К1", ЮЗАО,0.2941879588995378
Вторичка,3,2,19,Монолитный,Нет,0,0,0,0,1,0,0,52957805,139.0,60.0,17.0,1996,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 29", ЗАО,2.2281939134734734
Вторичка,2,8,18,Монолитный,Нет,2,0,0,1,1,1,0,24800000,96.0,37.0,25.0,2011,"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4", СЗАО,0.4885978816522272
Вторичка,3,4,12,Кирпичный,Косметический,0,2,1,1,1,1,0,39000000,107.0,54.0,13.0,1986,"Москва, ЦАО, р-н Тверской, 1-я Миусская ул., 2С1", ЦАО,0.28922755452113685
Вторичка,2,5,9,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,1,60434201,75.0,54.0,12.0,2007,"Москва, ЦАО, р-н Якиманка, ул. Малая Полянка, 2", ЦАО,0.1177730553970338
Вторичка,2,5,17,Панельный,Нет,0,1,1,1,0,0,1,9400000,54.0,32.0,10.0,1981,"Москва, СВАО, р-н Бабушкинский, ул. Менжинского, 32К3", СВАО,0.14296732000250734
Вторичка,6,8,24,Монолитно-кирпичный,Евроремонт,2,1,1,1,1,1,1,195009329,260.0,180.0,14.0,2008,"Москва, ЗАО, р-н Раменки, Ломоносовский просп., 29к1", ЗАО,1.879882418149436
Вторичка,2,32,43,Монолитный,Дизайнерский,2,0,1,1,0,0,1,26167386,81.8,58.0,14.0,2004,"Москва, ЗАО, р-н Фили-Давыдково, Давыдковская ул., 3", ЗАО,0.8198485106731115
Вторичка,1,15,22,Панельный,Евроремонт,1,0,1,1,1,0,0,6000000,36.0,18.0,10.0,1987,"Москва, ЮАО, р-н Зябликово, Шипиловская ул., 51", ЮАО,0.24086126086115114
Вторичка,2,16,20,Монолитный,Нет,0,1,1,1,0,1,0,9940000,56.8,30.0,15.0,2012,"Москва, ЮЗАО, р-н Зюзино, Балаклавский просп., 16", ЮЗАО,0.2263706315628586
Вторичка,4,26,37,Монолитно-кирпичный,Евроремонт,2,1,1,1,0,1,0,124606600,138.0,81.0,14.0,2006,"Москва, САО, р-н Хорошевский, Чапаевский пер., 3", САО,0.8815239051151257
Вторичка,3,9,24,Монолитный,Нет,0,2,1,0,0,0,0,27900000,78.0,54.0,9.0,2004,"Москва, ЦАО, р-н Пресненский, 3-я Красногвардейская ул., 3", ЦАО,0.774286262001462
Вторичка,5,3,8,Монолитный,Нет,0,3,1,0,0,0,1,52000000,125.0,80.0,15.0,2014,"Москва, ЗАО, р-н Раменки, ул. Столетова, 7к1", ЗАО,3.062184981765436
Вторичка,4,5,9,Монолитный,Нет,0,3,1,0,0,0,1,115884138,155.0,100.0,18.0,1997,"Москва, ЦАО, р-н Замоскворечье, Татарская ул., 18", ЦАО,0.25110026476324626
Вторичка,6,8,8,Монолитно-кирпичный,Нет,0,4,1,0,0,0,0,330207490,450.0,300.0,25.0,2012,"Москва, ЦАО, р-н Арбат, Большой Афанасьевский пер., 28", ЦАО,0.4154650487946528
Вторичка,2,7,30,Монолитный,Евроремонт,1,0,1,1,0,0,0,16900000,60.0,40.0,12.0,2012,"Москва, САО, р-н Войковский, Ленинградское ш., 25к3", САО,1.29258799060643
Вторичка,4,3,4,Монолитный,Нет,0,2,1,0,0,0,0,218061550,173.0,100.0,15.0,2001,"Москва, ЦАО, р-н Хамовники, 1-й Зачатьевский пер., 21", ЦАО,0.5491301224936592
Вторичка,4,5,6,Монолитный,Нет,0,2,1,0,0,0,0,68533630,137.0,110.0,12.0,1914,"Москва, ЦАО, р-н Басманный, ул. Солянка, 1/2С1", ЦАО,0.6375675628426687
Вторичка,6,2,9,Монолитный,Нет,0,4,1,0,0,0,0,2180615500,761.0,500.0,30.0,2010,"Москва, ЦАО, р-н Пресненский, Гранатный пер., 8С4", ЦАО,0.8213248636287473
Вторичка,6,14,24,Монолитный,Нет,0,5,1,0,0,0,0,363271851,293.0,250.0,25.0,2011,"Москва, ЮЗАО, р-н Гагаринский, ул. Косыгина, 13к1", ЮЗАО,0.9010137028112593
Новостройка,2,3,8,Монолитный,Чистовая,0,1,1,1,1,1,0,7082000,56.6,29.3,11.4,2019,"Москва, ЗАО, р-н Солнцево, Лучи жилой комплекс", ЗАО,7.186494619604868
Вторичка,4,7,14,Монолитный,Нет,0,3,1,0,0,0,0,199370560,182.4,120.0,15.0,2004,"Москва, ЦАО, р-н Пресненский, пер. Капранова, 4", ЦАО,0.3690889715961391
Вторичка,2,3,33,Монолитно-кирпичный,Дизайнерский,1,0,1,1,0,0,0,37381980,60.0,40.0,15.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,2,45,75,Монолитный,Нет,0,0,1,1,0,0,0,54515387,97.4,69.0,14.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,4,11,53,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,54577690,129.1,87.0,18.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,7,11,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,55699150,149.0,80.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,5,33,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,49219607,152.0,100.0,21.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,4,18,Монолитно-кирпичный,Дизайнерский,3,0,1,1,0,0,0,52000000,105.69,55.0,14.0,2017,"Москва, ЮАО, р-н Донской, ул. Орджоникидзе, 1", ЮАО,0.915422882224072
Вторичка,2,6,33,Монолитно-кирпичный,Дизайнерский,0,0,1,1,0,0,0,42989277,75.0,53.0,11.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,6,33,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,54203871,150.0,84.0,18.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,5,24,24,Монолитно-кирпичный,Дизайнерский,3,0,1,1,0,0,1,65000000,210.0,107.0,25.0,2000,"Москва, ЦАО, р-н Пресненский, 3-я Красногвардейская ул., 3", ЦАО,0.774286262001462
Вторичка,5,11,53,Монолитно-кирпичный,Нет,3,0,1,1,0,0,0,77879125,228.0,116.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,8,33,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,59811168,155.0,87.0,18.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,4,11,Монолитный,Нет,2,0,0,0,1,0,0,69900000,107.4,62.0,15.0,2013,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12", ЦАО,0.528172477585726
Вторичка,3,2,5,Кирпичный,Нет,2,0,1,1,0,0,0,64596061,115.2,57.0,16.0,2016,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57АС1", ЦАО,0.955750811623646
Вторичка,4,8,53,Монолитно-кирпичный,Нет,2,0,1,1,0,0,0,59188135,129.6,73.0,16.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,2,45,75,Монолитный,Нет,0,0,1,1,0,0,0,60434201,106.9,76.0,16.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,4,3,11,Монолитный,Нет,4,0,1,1,0,0,0,65418465,170.0,95.0,18.0,2007,"Москва, ЦАО, р-н Тверской, 3-я Тверская-Ямская ул., 10", ЦАО,0.19601037278024253
Вторичка,3,56,75,Монолитный,Нет,0,0,1,1,0,0,0,87224620,146.6,92.0,18.0,2013,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15", ЦАО,0.16484023989877042
Вторичка,4,3,13,Монолитный,Дизайнерский,1,1,1,1,0,1,1,97193148,156.0,90.0,14.0,2003,"Москва, ЦАО, р-н Хамовники, 1-й Неопалимовский пер., 8", ЦАО,0.8051297907420979
Вторичка,3,25,53,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,0,100118917,140.0,68.0,19.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,5,8,53,Монолитно-кирпичный,Нет,3,0,1,1,0,0,0,80994290,235.8,120.0,25.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,4,45,53,Монолитно-кирпичный,Нет,3,0,1,1,0,0,0,81741929,164.0,92.0,18.0,2011,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8", ЗАО,1.8210837895379957
Вторичка,3,4,12,Монолитный,Нет,0,0,0,0,0,0,0,101379929,135.6,85.0,16.0,2014,"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10с1к4/1", ЦАО,0.5713244435366369
Вторичка,4,8,13,Монолитно-кирпичный,Дизайнерский,2,0,1,1,0,0,1,93454950,160.0,90.0,18.0,2006,"Москва, ЦАО, р-н Тверской, ул. Александра Невского, 27", ЦАО,0.5833230627949604
Вторичка,3,8,12,Монолитный,Нет,2,0,0,0,1,0,0,87847653,94.0,71.0,14.0,2013,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12", ЦАО,0.528172477585726
